company_name,activity,address,phone,site_url,frozen food,bakery,importer,gefrorenes essen,mrożonki
Calfrost Sp. z o.o. Przedsiębiorstwo Przemysłu Chłodniczego,,Kalisz - Poland,48627646421,https://www.calfrost.com.pl
CEDO SP. Z O.O.,,Kąty wrocławskie - Poland,48713346800,http://www.paclan.pl,0,0,0,0,0
CELIKO SPÓŁKA AKCYJNA,,Poznań - Poland,48618712700,https://www.liofilizacja.pl
CENTRUM ZAOPATRZENIA MEDYCZNEGO I WETERYNARYJNEGO CENTROWET-CEZAL SP. Z O.O.,,Poznań - Poland,48618470491,https://centrowet-cezal.com.pl
Cezal SA Centrum Zaopatrzenia Medycznego,The distribution of medical equipment.,Wrocław - Poland,48713678027,https://www.cezal.com.pl
CEZAR SP. Z O.O.,,Puławy - Poland,48818880209,
CHŁODNIA - MORS SP. Z O.O.,,Zamość - Poland,48846389700,http://www.mors.zamosc.pl,0,0,0,0,2
CHŁODNIA KRAUS SP. Z O.O.,,Łodygowice - Poland,48338631030,
CHRIEN. spol. s r.o.,"""Sales of "
" frozen foods. especially poultry. vegetables. fish. ice-cream. potato and pasta blanks""",Zvolen - Slovakia,421455317910,https://www.chrien.sk
CIŻMA SP. Z O.O.,,Nowy tomyśl - Poland,48614425180,
Coffee Service Sp. z o.o.,,Warszawa - Poland,48226251510,https://coffee-service.eu,0,0,0,0,0
Coldor Sp. z o.o.,,Tarczyn - Poland,48227278155,https://coldor.pl
COMEX PH KONRAD I WIESŁAW WCISŁO SP. J.,,Lublin - Poland,48817471614,
COMPRITAL POLSKA SP. Z O.O.,,Pomiechówek - Poland,48227854046,https://www.arlekino.pl
COOP Jednota Slovensko. spotrebné družstvo,Network operator of 2400 retail grocery stores,Bratislava - Slovakia,421258233111,https://coop.sk,0,0,0,0,0
COTTON-TEX SP. Z O.O.,,Łódź - Poland,48426860753,http://www.cottontex.pl,0,0,2,0,0
Crossi Croissantspezialitäten – Internationale Backwaren und Nahrungsmittel GmbH,,Leipzig - Germany,493419608181,https://www.crossi.de,0,0,0,0,0
CTM Galicja Polska Spółka z o.o.,,Kraków - Poland,48122952100,https://www.ctmgalicja.pl
CTM Galicja Sp. z o.o. Oddział Dębica,,Dębica - Poland,48146819082,https://www.ctmgalicja.pl
