line_number,company_name,address,phone,site,altSite,query_string
1,GROUPE SODIAAL,,,,,"SODIAAL UNION, SODIAAL"
2,Rey Léon Cheese Savoie SAS,"2524 Rte du Fayet, 74700 Domancy, Франція",+33 4 50 58 34 28,,,SAS REY LEON FROMAGES DE SAVOIE
3,Cleurie-Augier - Groupe France Frais,"7 Rue de l'Encensement, 88200 Saint-Nabord, Франція",+33 3 29 23 63 63,https://theoseiller0.wixsite.com/cleurie-augier88,,CLEURIE - AUGIER
4,,,,,https://www.laita.com/en,LAITA
5,,,,,,SODEGER EURL
6,Etablissements Auribault,"Rte de Saint-Dizier, 52100 Villiers-en-Lieu, Франція",+33 3 25 05 59 48,,,ETABLISSEMENTS AURIBAULT
7,Maîtres Laitiers Distribution,"Rue Alfred Nobel, 14123 Ifs, Франція",+33 2 31 70 34 00,,,MAITRES LAITIERS DISTRIBUTION
8,Distrisud,"D612, 34110 Frontignan, Франція",+33 4 67 51 72 00,,,DISTRISUD
9,Etlin Service Frais,"2 Rue Georges Pawlak, 57645 Ogy-Montoy-Flanville, Франція",+33 3 87 31 70 70,http://www.etlin.fr/,,"ETLIN SERVICE FRAIS, LOSEFRA"
10,Askel Aslg,"4 Rue Robert Guichaoua, 29000 Quimper, Франція",+33 2 98 53 01 01,https://www.reseau-le-saint.com/askel/,,A S L G DISTRIBUTION
11,Sarl Ets Leduc Duez,"13 Rue Jean Jaurès, 59188 Saint-Vaast-en-Cambrésis, Франція",+33 3 27 37 14 22,https://www.facebook.com/beurre.leduc/,,SARL ETS LEDUC DUEZ
12,Team Ouest Distralis,"3 rue Ravalet, La Rivière, ZA Noyal Sud, 35530 Noyal-sur-Vilaine, Франція",+33 800 67 03 92,,,TEAM OUEST DISTRALIS
13,,,,,https://www.benoist-lair.fr/,BENOIST-LAIR
14,Crèmerie Husson,"2 Rue Gambetta, 51000 Châlons-en-Champagne, Франція",+33 3 26 65 79 22,https://www.petitscommerces.fr/page/cremerie-husson/,,ETABLISSEMENTS HUSSON
15,Bourgogne Produits Frais,"Rue Saint-Exupéry, 89470 Monéteau, Франція",+33 3 86 94 41 00,https://www.bpfrais.fr/,,"BOURGOGNE PRODUITS FRAIS, BPF"
16,,,,,https://www.savencia-fromagedairy.com/,"SAVENCIA FROMAGE & DAIRY FOODSERVICE, SAVENCIA FROMAG"
17,Groupe EVEN,"Traon Bihan CS 40003, 29260 Ploudaniel, Франція",+33 2 29 62 50 00,http://www.even.fr/,,COOPERATIVE EVEN
18,Lodifrais,"Rue Pierre Mendès France, 33310 Lormont, Франція",+33 5 57 80 99 00,https://lodifrais.fr/,,LODIFRAIS
19,,,,,,DISTRISUD - IDEELICE
20,Les Délices de L'Ouest,"Rue Louis Braille, 17430 Tonnay-Charente, Франція",+33 5 46 06 89 00,,,LES DELICES DE L'OUEST
21,Lact' Union,"12 Rte de Vauchelles, 80100 Abbeville, Франція",,,,LACT'UNION
22,,,,,https://supercoop.de/en/home-page/,SUPERCOOP
